"Citation.ID","abstract_screen","full_text_screen","journal_book_title","Score","eligible_experimental","eligible_quantitative","eligible_comments"
"111566360",1,"Eligible","ADDICTIVE BEHAVIORS",80,"Yes","Yes",""
"111565266",-1,NA,"ADDICTIVE BEHAVIORS",1,NA,NA,NA
"111577253",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111578353",1,"Eligible","PREVENTIVE MEDICINE",30,"Yes","Yes",""
"111565304",1,"Eligible","ADDICTIVE BEHAVIORS",49,"Yes","Yes",""
"111578413",1,"Eligible","PREVENTIVE MEDICINE",25,"Yes","Yes",""
"111576863",-1,NA,"PREVENTIVE MEDICINE",12,NA,NA,NA
"111576907",-1,NA,"PREVENTIVE MEDICINE",2,NA,NA,NA
"111574909",1,"Ineligible","PREVENTIVE MEDICINE",11,"No","Yes","Within Subject Experiment"
"111572001",1,"Eligible","PREVENTIVE MEDICINE",29,"Yes","Yes","Peer support in treatment. Control not described."
"111572076",1,"Eligible","PREVENTIVE MEDICINE",13,"Yes","Yes",""
"111573635",1,"Eligible","PREVENTIVE MEDICINE",6,"Yes","Yes",""
"111573907",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111569030",1,"Eligible","PREVENTIVE MEDICINE",38,"Yes","Yes","Not a lot of statistical details. "
"111566898",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",43,NA,NA,NA
"111566901",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111566920",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",61,NA,NA,NA
"111571485",1,"Eligible","JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",49,"Yes","Yes",""
"111568019",-1,NA,"PREVENTIVE MEDICINE",1,NA,NA,NA
"111571515",-1,NA,"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY",36,NA,NA,NA
"111568242",1,"Eligible","PREVENTIVE MEDICINE",70,"Yes","Yes","Treatment involved working with employment specialist"
"111566936",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",1,NA,NA,NA
"111566931",-1,NA,"JOURNAL OF EDUCATIONAL RESEARCH",2,NA,NA,NA
