"citation_id","study_id","response_id","experiment","cond_name","cond_type","cond_purpose","cond_exp_units_count","cond_exp_units_count_source","cond_obs_units_count","cond_obs_units_count_source","cond_treatment_provider_exp","cond_treatment_provider_exp_detail","cond_treatment_provider_obs","cond_treatment_provider_obs_detail","cond_treatment_provider_num","cond_treatment_provider_num_source","cond_treatment_groups_exp","cond_treatment_groups_exp_detail","cond_treatment_groups_obs","cond_treatment_groups_obs_detail","cond_treatment_groups_num","cond_treatment_groups_num_source","cond_comments"
"111568543","111568543","27377","1","Business as Usual","Control","No Treatment access","68","5, Randomization","295","6, Table 2","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111571622","111571622","28714","1","Traditional SE group","Treatment","Traditional Sports education based on Sport Education Model","2","Calculated from total sample size (6) divided by 2 grade levels  for each condition","22","264, Table 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111571622","111571622","28714","1","Irregular SE group","Treatment","Irregular Sports education based on Sport Education Model with competitions phase during reccesses","2","Calculated from total sample size (6) divided by 2 grade levels  for each condition","45","264, Table 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111571622","111571622","28714","1","Control group","Control","Traditional Physical Education without intervention","2","Calculated from total sample size (6) divided by 2 grade levels  for each condition","24","264, Table 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111565034","111565034","27400","1","Healthy Adolescent Transitions (HAT) intervention","Treatment","12 weekly sessions meeting with a nurse and/or social worker","166","512, Fig 1",NA,NA,"Yes","registered nurse and a bachelor’s level social worker",NA,NA,"1","512,  Intervention Condition","No",NA,NA,NA,NA,NA,NA
"111565034","111565034","27400","1","Usual Care","Control","Ineligible for HAT services. standard of care services in their area","165","512, Fig 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111564715","111564715","28685","1","E-mpodera2 vCoP","Treatment","Self management, Self care, Gamified web platform with a forum for experiential knowledge","146","634, Figure 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111564715","111564715","28685","1","Control","Control","Usual Professional Care","136","634, Figure 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111569943","111569943","28351","1","experimental","Treatment","computerized executive function training","Not reported (54 total)","564, Participants","382","564, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,"""Tutors received information by email or phone once every 2-3 weeks."" There is no other mention of tutors in the paper so weird."
"111569943","111569943","28351","1","control","Control","Wait-list for training","Not reported (54 total)","564, Participants","331","564, Participants","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111578353","111578353","28581","1","stepwise CMD prevention program","Treatment","Stepwise program of accessing CMD risk and visiting practice if deemed high risk","16389","2, Flowchart of Participants",NA,NA,"Yes","general practices centers offering care",NA,NA,"37*","2, Design","No",NA,NA,NA,NA,NA,"*(Shared between conditions) The actual sample analysised are those who completed the screening and individual treatment protocol which is 967 participants"
"111578353","111578353","28581","1","care as usual","Control","Invited for CMD prevention program a year later","14545","2, Flowchart of Participants",NA,NA,"Yes","general practices centers offering care",NA,NA,"37*","2, Design","No",NA,NA,NA,NA,NA,NA
"111573573","111573573","27158","1","Intervention","Treatment","CHW between clusters were trained together and establish a support network","30","126, Fig 1","60","126, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"Yes","CHW received training together in groups up to 10 and established support groups. They may have cross between clusters.","Up to 6","125,  Intervention Description","The extent that CHW were crossed with support groups is unclear"
"111573573","111573573","27158","1","Control","Control","one-time lecture on  HIV- and drug-related topics taught by local health educators after the baseline assessment.","30","126, Fig 1","60","126, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111565397","111565397","27640","1","Group Coping Power","Control","Coping Power Program delivered in a group setting","10","4, Study Design","180","Calculated from number of students per school (10) and year (3), 4, Study Design","Yes","intervention staff had equal numbers of children in ICP and  GCP conditions","Yes","All students in a school-year combination had 2 therapists leading a group","20 (same across conditions)","5, Study Design","No",NA,"Yes","All 6 students per school participated in a group setting with 2 therapists","30","4-5, Study Design",NA
"111565397","111565397","27640","1","Individual Coping Power","Treatment","Coping Power Program delivered in a individual setting","10","4, Study Design","180","Calculated from number of students per school and year, 4, Study Design","Yes","intervention staff had equal numbers of children in ICP and  GCP conditions","Yes","All students in a school-year combination had 1 therapists leading individual therapy","20 (same across conditions)","5, Study Design","No",NA,"No",NA,NA,NA,NA
"111576601","111576601","27674","1","Foster Care","Treatment","Children assigned to foster parents","68","1082, Figure 1",NA,NA,"Yes","Trained Foster Parent",NA,NA,"60","895, Foster Parents (Zeanah et al., 2003)","No",NA,NA,NA,NA,NA,"Both treatment conditions were in recruited from 6 institutions"
"111576601","111576601","27674","1","Care as Usual","Control","No foster care and continued institutional care","68","1082, Figure 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"Both treatment conditions were in recruited from 6 institutions"
"111568439","111568439","27842","1","mentoring intervention","Treatment","mentors assigned to students to increase students’ engagement by  developing relationships with them and their families","163*","558, Abstract",NA,NA,"Yes","female certified educators/mentors assigned to work with students to help overcome challenges",NA,NA,"5*","568, Mentors","No",NA,NA,NA,NA,NA,"* Sample size may be after attrition, coaches were between treatment conditions"
"111568439","111568439","27842","1","Reading Intervention","Treatment","intensive reading education taught in groups","142*","558, Abstract",NA,NA,"Yes","Reading interventionists who delivered treatment",NA,NA,"Not reported","566, Reading Interventionists","Yes","Treatment was delivered in groups of 10-15 students",NA,NA,"Not reported","566,  Reading Intervention for Adolescents","* Sample size may be after attrition, coaches were between treatment conditions"
"111568439","111568439","27842","1","mentoring + reading intervention","Treatment","both assigned mentor and reading intervention","164*","558, Abstract",NA,NA,"Yes","Both coaches and interventionists",NA,NA,"5* coaches and unknown number of interventionists","568, Mentors ~ 566, Reading Interventionists","Yes","Treatment was delivered in groups of 10-15 students",NA,NA,"Not reported","566,  Reading Intervention for Adolescents","* Sample size may be after attrition"
"111568439","111568439","27842","1","business as usual","Control","Not described","154*","558, Abstract",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111569482","111569482","27641","1","Study Group","Treatment","structured psychological care combined with group health education, group health  education: 2 h/time, once a week,","48","2, General Information",NA,NA,"Yes","Nurses +  experts  of departments-teachers",NA,NA,"Not Reported",NA,"Yes","Patients in this group together form connections and received health education together",NA,NA,"Not Reported",NA,NA
"111569482","111569482","27641","1","Control Group","Control","Routine nursing","48","2, General Information",NA,NA,"Yes","Nurses",NA,NA,"Not Reported",NA,"No",NA,NA,NA,NA,NA,NA
